date,adjclose
2021-09-07,370.83367919921875
2021-09-08,369.5429992675781
2021-09-09,368.2715759277344
2021-09-10,365.4765930175781
2021-09-13,365.2241516113281
2021-09-14,364.18585205078125
2021-09-15,366.8935546875
2021-09-16,367.14581298828125
2021-09-17,362.79803466796875
2021-09-20,355.3013916015625
2021-09-21,355.7386169433594
2021-09-22,359.0614013671875
2021-09-23,362.37451171875
2021-09-24,362.7143859863281
2021-09-27,359.8191833496094
2021-09-28,349.63720703125
2021-09-29,349.06402587890625
2021-09-30,347.78155517578125
2021-10-01,349.9383850097656
2021-10-04,342.5933532714844
2021-10-05,347.2179870605469
2021-10-06,349.44293212890625
2021-10-07,352.64898681640625
2021-10-08,350.89056396484375
2021-10-11,348.1993713378906
2021-10-12,346.9848327636719
2021-10-13,349.76348876953125
2021-10-14,356.20489501953125
2021-10-15,358.44927978515625
2021-10-18,362.0537414550781
2021-10-19,364.7936096191406
2021-10-20,364.3175964355469
2021-10-21,366.54241943359375
2021-10-22,363.462646484375
2021-10-25,367.1835632324219
2021-10-26,368.3398132324219
2021-10-27,369.1948547363281
2021-10-28,373.2947692871094
2021-10-29,375.1311340332031
2021-11-01,376.4135437011719
2021-11-02,377.98748779296875
2021-11-03,382.00006103515625
2021-11-04,386.8967590332031
2021-11-05,387.26593017578125
2021-11-08,386.7412414550781
2021-11-09,384.07928466796875
2021-11-10,378.4344482421875
2021-11-11,379.483642578125
2021-11-12,383.4768371582031
2021-11-15,383.38934326171875
2021-11-16,386.1195068359375
2021-11-17,386.323486328125
2021-11-18,390.3263854980469
2021-11-19,392.5026550292969
2021-11-22,387.946044921875
2021-11-23,386.1778259277344
2021-11-24,387.42144775390625
2021-11-26,380.076416015625
2021-11-29,388.3249816894531
2021-11-30,382.6219482421875
2021-12-01,376.1123352050781
2021-12-02,378.82305908203125
2021-12-03,372.2358093261719
2021-12-06,375.218505859375
2021-12-07,386.51788330078125
2021-12-08,388.24713134765625
2021-12-09,382.53436279296875
2021-12-10,386.6927185058594
2021-12-13,381.106201171875
2021-12-14,377.16162109375
2021-12-15,385.760009765625
2021-12-16,375.8403015136719
2021-12-17,373.9652099609375
2021-12-20,370.3376159667969
2021-12-21,378.6259460449219
2021-12-22,383.2369689941406
2021-12-23,386.1262512207031
2021-12-27,392.5078430175781
2021-12-28,390.68865966796875
