date,adjclose
2021-09-07,212.17544555664062
2021-09-08,209.8605194091797
2021-09-09,209.75746154785156
2021-09-10,207.70494079589844
2021-09-13,208.8858642578125
2021-09-14,206.22415161132812
2021-09-15,208.0891876220703
2021-09-16,208.23919677734375
2021-09-17,208.51092529296875
2021-09-20,203.5531005859375
2021-09-21,203.86236572265625
2021-09-22,207.0301513671875
2021-09-23,210.6946563720703
2021-09-24,209.67843627929688
2021-09-27,212.86524963378906
2021-09-28,208.02398681640625
2021-09-29,207.5821533203125
2021-09-30,205.63624572753906
2021-10-01,208.95465087890625
2021-10-04,207.05572509765625
2021-10-05,207.77017211914062
2021-10-06,206.68910217285156
2021-10-07,209.87586975097656
2021-10-08,208.29660034179688
2021-10-11,207.1027374267578
2021-10-12,208.24017333984375
2021-10-13,209.22726440429688
2021-10-14,212.3293914794922
2021-10-15,211.66195678710938
2021-10-18,211.5397491455078
2021-10-19,212.3293914794922
2021-10-20,213.73951721191406
2021-10-21,214.28469848632812
2021-10-22,213.77706909179688
2021-10-25,215.80764770507812
2021-10-26,214.18125915527344
2021-10-27,210.2424774169922
2021-10-28,214.4351348876953
2021-10-29,214.3787384033203
2021-11-01,219.9344482421875
2021-11-02,220.39503479003906
2021-11-03,224.3338623046875
2021-11-04,224.2492218017578
2021-11-05,227.31382751464844
2021-11-08,228.01885986328125
2021-11-09,226.69342041015625
2021-11-10,223.12124633789062
2021-11-11,224.9167022705078
2021-11-12,225.14230346679688
2021-11-15,224.2492218017578
2021-11-16,224.66290283203125
2021-11-17,221.7205352783203
2021-11-18,220.7804718017578
2021-11-19,218.76878356933594
2021-11-22,217.83811950683594
2021-11-23,217.46206665039062
2021-11-24,217.6970977783203
2021-11-26,209.49046325683594
2021-11-29,209.35885620117188
2021-11-30,205.09100341796875
2021-12-01,200.47535705566406
2021-12-02,206.06869506835938
2021-12-03,201.8384552001953
2021-12-06,205.89007568359375
2021-12-07,210.66552734375
2021-12-08,212.1038055419922
2021-12-09,207.30015563964844
2021-12-10,206.72669982910156
2021-12-13,203.7056121826172
2021-12-14,201.95181274414062
2021-12-15,205.15773010253906
2021-12-16,201.0089569091797
2021-12-17,202.85702514648438
2021-12-20,200.00946044921875
2021-12-21,205.72341918945312
2021-12-22,207.7035675048828
2021-12-23,209.36309814453125
2021-12-27,211.32431030273438
2021-12-28,210.0325469970703
2021-12-29,210.2588348388672
2021-12-30,210.2022705078125
2021-12-31,209.74966430664062
2022-01-03,212.45579528808594
2022-01-04,212.13522338867188
2022-01-05,204.9502716064453
2022-01-06,206.11949157714844
2022-01-07,203.73391723632812
2022-01-10,203.02674865722656
2022-01-11,205.18603515625
2022-01-12,203.65847778320312
2022-01-13,201.79156494140625
2022-01-14,202.0743865966797
2022-01-18,195.96438598632812
2022-01-19,192.77734375
2022-01-20,189.28857421875
2022-01-21,185.74327087402344
2022-01-24,190.02401733398438
2022-01-25,187.4876251220703
2022-01-26,184.781494140625
2022-01-27,180.58560180664062
2022-01-28,184.1026153564453
2022-01-31,189.75062561035156
2022-02-01,191.74957275390625
2022-02-02,189.84490966796875
2022-02-03,186.25242614746094
2022-02-04,187.05389404296875
2022-02-07,187.9779510498047
2022-02-08,191.1837921142578
2022-02-09,194.81399536132812
2022-02-10,191.82501220703125
2022-02-11,189.8826446533203
2022-02-14,189.22254943847656
2022-02-15,194.29544067382812
2022-02-16,194.7008514404297
2022-02-17,189.71290588378906
2022-02-18,188.08168029785156
2022-02-22,185.4320831298828
2022-02-23,181.96218872070312
2022-02-24,186.73329162597656
2022-02-25,190.93869018554688
2022-02-28,191.7118682861328
2022-03-01,188.10057067871094
2022-03-02,192.57933044433594
2022-03-03,190.2974853515625
2022-03-04,187.3179168701172
2022-03-07,182.65992736816406
2022-03-08,183.66885375976562
2022-03-09,188.8454132080078
2022-03-10,188.50599670410156
2022-03-11,185.4980926513672
2022-03-14,181.7076416015625
2022-03-15,184.6023406982422
2022-03-16,190.41064453125
2022-03-17,193.39968872070312
2022-03-18,195.43634033203125
2022-03-21,193.7108154296875
2022-03-22,195.65318298339844
2022-03-23,192.2587432861328
2022-03-24,194.46946716308594
2022-03-25,194.7340087890625
2022-03-28,194.80015563964844
2022-03-29,200.01524353027344
2022-03-30,196.00001525878906
2022-03-31,193.93096923828125
2022-04-01,196.1039276123047
2022-04-04,196.4251708984375
2022-04-05,191.77691650390625
2022-04-06,189.05599975585938
2022-04-07,188.44192504882812
2022-04-08,186.9397735595703
2022-04-11,185.6831817626953
2022-04-12,186.2689666748047
2022-04-13,189.81182861328125
2022-04-14,187.9695587158203
2022-04-18,186.70355224609375
2022-04-19,190.42591857910156
2022-04-20,191.1533660888672
2022-04-21,186.87364196777344
2022-04-22,182.0364227294922
2022-04-25,183.14183044433594
2022-04-26,177.36932373046875
2022-04-27,176.6324005126953
2022-04-28,179.92962646484375
2022-04-29,174.7334442138672
2022-05-02,176.56626892089844
2022-05-03,178.07789611816406
2022-05-04,182.83001708984375
2022-05-05,175.41366577148438
2022-05-06,172.49435424804688
2022-05-09,165.2386016845703
2022-05-10,165.2858428955078
2022-05-11,161.17616271972656
2022-05-12,163.06565856933594
2022-05-13,168.2334747314453
2022-05-16,167.430419921875
2022-05-17,172.551025390625
2022-05-18,166.5045928955078
2022-05-19,166.77854919433594
2022-05-20,166.3533935546875
2022-05-23,168.36575317382812
2022-05-24,165.8716278076172
2022-05-25,168.85704040527344
2022-05-26,172.62664794921875
2022-05-27,177.2748565673828
2022-05-31,175.07354736328125
2022-06-01,174.08152770996094
2022-06-02,178.33297729492188
2022-06-03,176.7268829345703
2022-06-06,177.49212646484375
2022-06-07,180.3547821044922
2022-06-08,177.5677032470703
2022-06-09,173.88671875
2022-06-10,169.1693878173828
2022-06-13,161.22195434570312
2022-06-14,160.44525146484375
2022-06-15,162.79444885253906
2022-06-16,155.25430297851562
2022-06-17,156.46676635742188
2022-06-21,159.27064514160156
2022-06-22,158.96754455566406
2022-06-23,160.8715362548828
2022-06-24,165.85401916503906
2022-06-27,166.46975708007812
2022-06-28,163.34384155273438
2022-06-29,161.68612670898438
2022-06-30,160.42628479003906
2022-07-01,162.3681640625
2022-07-05,163.71327209472656
2022-07-06,162.50076293945312
2022-07-07,166.34658813476562
2022-07-08,166.32765197753906
2022-07-11,162.98385620117188
2022-07-12,162.42498779296875
2022-07-13,162.2829132080078
2022-07-14,160.6157684326172
2022-07-15,163.95950317382812
2022-07-18,163.49539184570312
2022-07-19,169.26416015625
2022-07-20,171.9164276123047
2022-07-21,172.79737854003906
2022-07-22,170.04086303710938
2022-07-25,170.92181396484375
2022-07-26,169.87034606933594
2022-07-27,173.73516845703125
2022-07-28,176.12222290039062
2022-07-29,177.37257385253906
2022-08-01,177.3062744140625
2022-08-02,177.1357879638672
2022-08-03,179.74072265625
2022-08-04,179.36180114746094
2022-08-05,180.73533630371094
2022-08-08,182.64877319335938
2022-08-09,180.1575164794922
2022-08-10,185.30108642578125
2022-08-11,185.99256896972656
2022-08-12,189.7910614013672
2022-08-15,190.46360778808594
2022-08-16,190.38783264160156
2022-08-17,187.18609619140625
2022-08-18,188.42698669433594
2022-08-19,184.38223266601562
2022-08-22,180.58377075195312
2022-08-23,180.87742614746094
2022-08-24,182.26039123535156
2022-08-25,185.0926055908203
2022-08-26,179.0113067626953
2022-08-29,177.36314392089844
2022-08-30,174.88133239746094
2022-08-31,173.82041931152344
2022-09-01,171.9259033203125
2022-09-02,170.59027099609375
2022-09-06,168.90415954589844
2022-09-07,172.5795135498047
2022-09-08,174.0193328857422
2022-09-09,177.5146942138672
2022-09-12,179.6649627685547
2022-09-13,172.6363525390625
2022-09-14,173.30889892578125
2022-09-15,172.04904174804688
2022-09-16,169.54830932617188
2022-09-19,170.99758911132812
2022-09-20,168.6673583984375
2022-09-21,166.09083557128906
2022-09-22,162.34922790527344
2022-09-23,158.48440551757812
2022-09-26,156.31446838378906
2022-09-27,156.84765625
