allocation,method,frequency,portfolio_size,final_return,sharpe,max_drawdown,total_costs
"(0.7, 0.3)",markowitz,weekly,10000.0,0.28435587582716715,0.501813945363847,-0.23620480019481926,3235.8969666097823
"(0.7, 0.3)",markowitz,weekly,100000.0,0.3983254699021439,0.647051111080724,-0.2260848133773652,23605.413117913453
"(0.7, 0.3)",markowitz,weekly,1.0e6,0.3818841826905923,0.6270040830463203,-0.2325910683462099,249981.22272866147
"(0.7, 0.3)",markowitz,biweekly,10000.0,0.4683759574713977,0.726651717221748,-0.1854521748814506,2411.7373636957254
"(0.7, 0.3)",markowitz,biweekly,100000.0,0.5275049731051844,0.7941362813408246,-0.1803165228859419,19811.539006366973
"(0.7, 0.3)",markowitz,biweekly,1.0e6,0.5133433751835337,0.7783302954122326,-0.18358744533162819,209250.01285597173
"(0.7, 0.3)",markowitz,monthly,10000.0,0.48330550958685814,0.7388381882863598,-0.1641737804782052,2072.549348846305
"(0.7, 0.3)",markowitz,monthly,100000.0,0.5113271990318566,0.7699540781472494,-0.1615176172848687,18721.334512560174
"(0.7, 0.3)",markowitz,monthly,1.0e6,0.49959233987720597,0.756773881328676,-0.1636317011811167,195973.39346696544
"(0.7, 0.3)",black_litterman,daily,10000.0,-0.2165150765349808,-0.4257791708146908,-0.27882092514058876,6743.871281547125
"(0.7, 0.3)",black_litterman,daily,100000.0,0.5028323921606626,0.882109153298329,-0.1317448746185007,14665.121802787056
"(0.7, 0.3)",black_litterman,daily,1.0e6,0.5741526661272733,0.975668300555944,-0.13035221156149857,94282.079435235
"(0.7, 0.3)",black_litterman,weekly,10000.0,0.4517062296292613,0.8099616713201546,-0.1328139528334632,1785.0336872102537
"(0.7, 0.3)",black_litterman,weekly,100000.0,0.597383119525756,1.0023334450280281,-0.12926313098944053,7108.016484839585
"(0.7, 0.3)",black_litterman,weekly,1.0e6,0.6114366353341492,1.0204127743165223,-0.12899503290013026,60666.63486949874
"(0.7, 0.3)",black_litterman,biweekly,10000.0,0.5437500812623182,0.9338537603749981,-0.1290047541022441,1071.2808032337505
"(0.7, 0.3)",black_litterman,biweekly,100000.0,0.6168188099117167,1.0276799295349397,-0.12776870189944756,5304.093434232521
"(0.7, 0.3)",black_litterman,biweekly,1.0e6,0.6236213855029407,1.0366501986282768,-0.1276524324318642,47944.859439872074
"(0.7, 0.3)",black_litterman,monthly,10000.0,0.5901805450844244,0.9956800097763194,-0.1278432940384261,700.2481710435586
"(0.7, 0.3)",black_litterman,monthly,100000.0,0.6253939855588253,1.039100331371265,-0.1273993004781082,4368.79759962941
"(0.7, 0.3)",black_litterman,monthly,1.0e6,0.6284180930275616,1.043206247062748,-0.12735951130343937,41360.22093577882
"(0.7, 0.3)",risk_parity,daily,10000.0,-0.43630589603381154,-2.018456329764947,-0.43821190037997027,6403.948296574012
